Estado;Bacia;Nome_ANP;Nome_Operador;Campo;Operador;Contrato;Periodo;Oleo_bpd;Condensado_bpd;Petroleo_bpd;Gas_Natural_Associado_(Mm³/dia);Gas_Natural_Não Associado_(Mm³/dia);Gas_Natural_Total_(Mm³/dia);Volume_Gas_Royalties_(Mm³/dia);Agua_bpd;Instalacao_Destino;Tipo_Instalacao;Tempo_de_Producao_h_por_mes;Periodo_Carga;Corrente;Grau_API;Fracao_Destilados_Leves_Corte;Fracao_Destilados_Leves_Volume;Fracao_Destilados_Medios_Corte;Fracao_Destilados_Medios_Volume;Fracao_Destilados_Pesados_Corte;Fracao_Destilados_Pesados_Volume;Percentual_em_Volumes_Metano;Percentual_em_Volumes_Etano;Percentual_em_Volumes_Propano;Percentual_em_Volumes_Iso-Butano;Percentual_em_Volumes_Butano;Percentual_em_Volumes_Iso-Pentano;Percentual_em_Volumes_n-Pentano;Percentual_em_Volumes_Hexanos;Percentual_em_Volumes_Heptanos;Percentual_em_Volumes_Octanos;Percentual_em_Volumes_Nonanos;Percentual_em_Volumes_Decanos;Percentual_em_Volumes_Undecanos;Percentual_em_Volumes_Oxigenio;Percentual_em_Volumes_Nitrogenio;Percentual_em_Volumes_Gas Carbonico;Densidade_GLP_Gas;Densidade_GLP_Liquido;PCS_GP_KJ_por_metro_cubico;Data_Atualizacao
Rio Grande do Norte;Potiguar;7-FP-428-RN;7FP428RN;FAZENDA POCINHO;Petrobras;480000037999773;2023/02;0,6721;0,0000;0,6721;0,0032;0,0000;0,0032;0,08900;66,6372;Estação Coletora Central de Fazenda Pocinho;INSTALACAO EMB/DESEMB;672;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;86,931;1,385;0,228;0,03;0,108;0,658;0,02;0,112;0,063;0,054;0,055;0,096;0;0,075;3,385;6,799;2,08223;537,37907;34183,0102;08/04/2023
Rio Grande do Norte;Potiguar;7-ET-1018-RN;7ET1018RN;ESTREITO;Petrobras;480000037939797;2023/02;1,3635;0,0000;1,3635;0,0006;0,0000;0,0006;0,01600;169,4601;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;663;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;08/04/2023
Rio Grande do Norte;Potiguar;7-ET-910-RN;7ET910RN;ESTREITO;Petrobras;480000037939797;2023/02;4,6012;0,0000;4,6012;0,0019;0,0000;0,0019;0,05300;442,9477;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;642;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;08/04/2023
Rio Grande do Norte;Potiguar;7-ET-1471-RN;7ET1471RN;ESTREITO;Petrobras;480000037939797;2023/02;1,5309;0,0000;1,5309;0,0006;0,0000;0,0006;0,01800;319,5309;Estação Coletora Rio Panon A;INSTALACAO EMB/DESEMB;670;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;08/04/2023
Rio Grande do Norte;Potiguar;7-FP-291A-RN;7FP291ARN;FAZENDA POCINHO;Petrobras;480000037999773;2023/02;0,6786;0,0000;0,6786;0,0083;0,0000;0,0083;0,23300;78,2920;Estação Coletora Central de Fazenda Pocinho;INSTALACAO EMB/DESEMB;672;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;86,931;1,385;0,228;0,03;0,108;0,658;0,02;0,112;0,063;0,054;0,055;0,096;0;0,075;3,385;6,799;2,08223;537,37907;34183,0102;08/04/2023
Rio Grande do Norte;Potiguar;7-ET-1479D-RN;7ET1479DRN;ESTREITO;Petrobras;480000037939797;2023/02;3,9109;0,0000;3,9109;0,0016;0,0000;0,0016;0,04500;608,2069;Estação Coletora Rio Panon A;INSTALACAO EMB/DESEMB;670;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;08/04/2023
Bahia;Recôncavo;7-RO-71-BA;7RO  0071  BA;MATA DE SÃO JOÃO;PetroRecôncavo;480000036719718;2023/02;0,0279;0,0000;0,0279;0,0003;0,0000;0,0003;0,00700;4,9274;Estação Remanso;INSTALACAO EMB/DESEMB;633;;;;< ºC;%;;%;> ºC;%;76,4173;8,8227;5,1695;1,3472;2,2675;0,8067;0,9588;0,8102;0,462;0,2093;0,0622;0,0126;0;0,0131;1,6131;1,0278;2,07908;537,49442;39478,7016;08/04/2023
Rio Grande do Norte;Potiguar;7-ET-1150-RN;7ET1150RN;ESTREITO;Petrobras;480000037939797;2023/02;7,9856;0,0000;7,9856;0,0033;0,0000;0,0033;0,09200;173,0922;Estação Coletora Estreito A;INSTALACAO EMB/DESEMB;642;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;08/04/2023
Rio Grande do Norte;Potiguar;7-FP-113-RN;7FP  0113  RN;FAZENDA POCINHO;Petrobras;480000037999773;2023/02;1,9748;0,0000;1,9748;0,0242;0,0000;0,0242;0,67700;272,1578;Estação Coletora Central de Fazenda Pocinho;INSTALACAO EMB/DESEMB;672;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;86,931;1,385;0,228;0,03;0,108;0,658;0,02;0,112;0,063;0,054;0,055;0,096;0;0,075;3,385;6,799;2,08223;537,37907;34183,0102;08/04/2023
Rio Grande do Norte;Potiguar;7-ET-1403-RN;7ET1403RN;ESTREITO;Petrobras;480000037939797;2023/02;0,7240;0,0000;0,7240;0,0003;0,0000;0,0003;0,00800;367,6351;Estação Coletora Rio Panon A;INSTALACAO EMB/DESEMB;585;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;08/04/2023
