UF;Bacia;Exploração;Nome_ANP;Campo;Operador;Período;Petróleo_(bbl/dia);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sergipe;Sergipe;mar;7-TTG-3D-SES;TARTARUGA;SPE Tiêta;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-PM-39H-RJS;LINGUADO;Trident Energy;2023/01;0,7203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-PM-41HP-RJS;LINGUADO;Trident Energy;2023/01;2,9209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-PM-50HP-RJS;LINGUADO;Trident Energy;2023/01;4,3124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-PM-38D-RJS;LINGUADO;Trident Energy;2023/01;2,9777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-PM-21D-RJS;LINGUADO;Trident Energy;2023/01;9,3124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-27-RJS;TUPI;Petrobras;2023/01;25.035,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-28D-RJS;TUPI;Petrobras;2023/01;19.329,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-31D-RJS;TUPI;Petrobras;2023/01;3.227,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-34D-RJS;TUPI;Petrobras;2023/01;8.724,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
