Estado;Bacia;Nome_ANP;Nome_Operador;Campo;Operador;Contrato;Periodo;Oleo_bpd;Condensado_bpd;Petroleo_bpd;Gas_Natural_Associado_(Mm³/dia);Gas_Natural_Não Associado_(Mm³/dia);Gas_Natural_Total_(Mm³/dia);Volume_Gas_Royalties_(Mm³/dia);Agua_bpd;Instalacao_Destino;Tipo_Instalacao;Tempo_de_Producao_h_por_mes;Periodo_Carga;Corrente;Grau_API;Fracao_Destilados_Leves_Corte;Fracao_Destilados_Leves_Volume;Fracao_Destilados_Medios_Corte;Fracao_Destilados_Medios_Volume;Fracao_Destilados_Pesados_Corte;Fracao_Destilados_Pesados_Volume;Percentual_em_Volumes_Metano;Percentual_em_Volumes_Etano;Percentual_em_Volumes_Propano;Percentual_em_Volumes_Iso-Butano;Percentual_em_Volumes_Butano;Percentual_em_Volumes_Iso-Pentano;Percentual_em_Volumes_n-Pentano;Percentual_em_Volumes_Hexanos;Percentual_em_Volumes_Heptanos;Percentual_em_Volumes_Octanos;Percentual_em_Volumes_Nonanos;Percentual_em_Volumes_Decanos;Percentual_em_Volumes_Undecanos;Percentual_em_Volumes_Oxigenio;Percentual_em_Volumes_Nitrogenio;Percentual_em_Volumes_Gas Carbonico;Densidade_GLP_Gas;Densidade_GLP_Liquido;PCS_GP_KJ_por_metro_cubico;Data_Atualizacao
São Paulo;Santos;7-SPH-1-SPS;7SPH1SPS;SUDOESTE DE SAPINHOÁ;Petrobras;4,861E+14;2023/02;185,60;0,00;185,60;6,20;0,00;6,20;101,58;148,47;FPSO CIDADE DE SÃO PAULO;UEP;647;2023/02;Sapinhoá;30,1;< 270ºC;34.1%;270ºC a 458ºC;27.91%;> 458ºC;37.99%;;;;;;;;;;;;;;;;;;;;08/04/2023
São Paulo;Santos;7-SPH-14D-SPS;7SPH14DSPS;SUDOESTE DE SAPINHOÁ;Petrobras;4,861E+14;2023/02;327,67;0,00;327,67;31,79;0,00;31,79;520,35;89,80;FPSO CIDADE DE ILHA BELA;UEP;643;2023/02;Sapinhoá;30,1;< 270ºC;34.1%;270ºC a 458ºC;27.91%;> 458ºC;37.99%;;;;;;;;;;;;;;;;;;;;08/04/2023
São Paulo;Santos;7-SPH-4D-SPS;7SPH4DSPS;SUDOESTE DE SAPINHOÁ;Petrobras;4,861E+14;2023/02;350,85;0,00;350,85;11,51;0,00;11,51;188,42;93,97;FPSO CIDADE DE SÃO PAULO;UEP;647;2023/02;Sapinhoá;30,1;< 270ºC;34.1%;270ºC a 458ºC;27.91%;> 458ºC;37.99%;;;;;;;;;;;;;;;;;;;;08/04/2023
São Paulo;Santos;7-SPH-6-SPS;7SPH6SPS;SUDOESTE DE SAPINHOÁ;Petrobras;4,861E+14;2023/02;21,54;0,00;21,54;0,67;0,00;0,67;11,03;29,92;FPSO CIDADE DE ILHA BELA;UEP;100;2023/02;Sapinhoá;30,1;< 270ºC;34.1%;270ºC a 458ºC;27.91%;> 458ºC;37.99%;;;;;;;;;;;;;;;;;;;;08/04/2023
São Paulo;Santos;7-SPH-7D-SPS;7SPH7DSPS;SUDOESTE DE SAPINHOÁ;Petrobras;4,861E+14;2023/02;279,28;0,00;279,28;10,14;0,00;10,14;166,08;37,01;FPSO CIDADE DE ILHA BELA;UEP;647;2023/02;Sapinhoá;30,1;< 270ºC;34.1%;270ºC a 458ºC;27.91%;> 458ºC;37.99%;;;;;;;;;;;;;;;;;;;;08/04/2023
Rio de Janeiro;Santos;7-LL-80DB-RJS;7LL80DBRJS;SUL DE TUPI;Petrobras;4,861E+14;2023/02;1762,56;0,00;1762,56;70,67;0,00;70,67;1023,74;43,13;FPSO CIDADE DE SAQUAREMA;UEP;619;2023/02;Área de Sul de Tupi;30,2;< 270ºC;34.8%;270ºC a 458ºC;25.29%;> 458ºC;39.91%;71,809;11,429;6,953;1,006;1,746;0,293;0,325;0,126;0,055;0,03;0,015;0,003;0;0,06;0,879;5,271;2,00144;528,22646;38798,0539;08/04/2023
Rio de Janeiro;Santos;7-LL-11-RJS;7LL11RJS;SUL DE TUPI;Petrobras;4,861E+14;2023/02;434,57;0,00;434,57;25,20;0,00;25,20;365,08;812,24;FPSO CIDADE DE PARATY;UEP;616;2023/02;Área de Sul de Tupi;30,2;< 270ºC;34.8%;270ºC a 458ºC;25.29%;> 458ºC;39.91%;71,809;11,429;6,953;1,006;1,746;0,293;0,325;0,126;0,055;0,03;0,015;0,003;0;0,06;0,879;5,271;2,00144;528,22646;38798,0539;08/04/2023
Rio de Janeiro;Santos;9-LL-12D-RJS;9LL12DRJS;AnC_TUPI;Petrobras;4,861E+14;2023/02;141,05;0,00;141,05;6,12;0,00;6,12;88,63;1,47;FPSO CIDADE DE MARICÁ;UEP;603;2023/02;Área de Sul de Tupi;30,2;< 270ºC;34.8%;270ºC a 458ºC;25.29%;> 458ºC;39.91%;71,809;11,429;6,953;1,006;1,746;0,293;0,325;0,126;0,055;0,03;0,015;0,003;0;0,06;0,879;5,271;2,00144;528,22646;38798,0539;08/04/2023
Rio de Janeiro;Santos;7-LL-85-RJS;7LL85RJS;AnC_TUPI;Petrobras;4,861E+14;2023/02;18,75;0,00;18,75;1,48;0,00;1,48;21,39;18,93;FPSO CIDADE DE SAQUAREMA;UEP;607;2023/02;Área de Sul de Tupi;30,2;< 270ºC;34.8%;270ºC a 458ºC;25.29%;> 458ºC;39.91%;71,809;11,429;6,953;1,006;1,746;0,293;0,325;0,126;0,055;0,03;0,015;0,003;0;0,06;0,879;5,271;2,00144;528,22646;38798,0539;08/04/2023
Rio de Janeiro;Santos;7-LL-84D-RJS;7LL84DRJS;AnC_TUPI;Petrobras;4,861E+14;2023/02;133,44;0,00;133,44;4,72;0,00;4,72;68,39;4,55;FPSO CIDADE DE MARICÁ;UEP;619;2023/02;Área de Sul de Tupi;30,2;< 270ºC;34.8%;270ºC a 458ºC;25.29%;> 458ºC;39.91%;71,809;11,429;6,953;1,006;1,746;0,293;0,325;0,126;0,055;0,03;0,015;0,003;0;0,06;0,879;5,271;2,00144;528,22646;38798,0539;08/04/2023
Rio de Janeiro;Santos;7-LL-22D-RJS;7LL22DRJS;AnC_TUPI;Petrobras;4,861E+14;2023/02;115,39;0,00;115,39;4,43;0,00;4,43;64,12;0,62;FPSO CIDADE DE PARATY;UEP;619;2023/02;Área de Sul de Tupi;30,2;< 270ºC;34.8%;270ºC a 458ºC;25.29%;> 458ºC;39.91%;71,809;11,429;6,953;1,006;1,746;0,293;0,325;0,126;0,055;0,03;0,015;0,003;0;0,06;0,879;5,271;2,00144;528,22646;38798,0539;08/04/2023
