Estado;Bacia;Nome_ANP;Nome_Operador;Campo;Operador;Contrato;Periodo;Oleo_bpd;Condensado_bpd;Petroleo_bpd;Gas_Natural_Associado_(Mm³/dia);Gas_Natural_Não Associado_(Mm³/dia);Gas_Natural_Total_(Mm³/dia);Volume_Gas_Royalties_(Mm³/dia);Agua_bpd;Instalacao_Destino;Tipo_Instalacao;Tempo_de_Producao_h_por_mes;Periodo_Carga;Corrente;Grau_API;Fracao_Destilados_Leves_Corte;Fracao_Destilados_Leves_Volume;Fracao_Destilados_Medios_Corte;Fracao_Destilados_Medios_Volume;Fracao_Destilados_Pesados_Corte;Fracao_Destilados_Pesados_Volume;Percentual_em_Volumes_Metano;Percentual_em_Volumes_Etano;Percentual_em_Volumes_Propano;Percentual_em_Volumes_Iso-Butano;Percentual_em_Volumes_Butano;Percentual_em_Volumes_Iso-Pentano;Percentual_em_Volumes_n-Pentano;Percentual_em_Volumes_Hexanos;Percentual_em_Volumes_Heptanos;Percentual_em_Volumes_Octanos;Percentual_em_Volumes_Nonanos;Percentual_em_Volumes_Decanos;Percentual_em_Volumes_Undecanos;Percentual_em_Volumes_Oxigenio;Percentual_em_Volumes_Nitrogenio;Percentual_em_Volumes_Gas Carbonico;Densidade_GLP_Gas;Densidade_GLP_Liquido;PCS_GP_KJ_por_metro_cubico;Data_Atualizacao
Rio de Janeiro;Campos;7-PRG-63H-RJS;BMC7A5;PEREGRINO;Equinor Brasil;4,861E+14;2023/02;630,21;0,00;630,21;1,11;0,00;1,11;31,05;2472,03;Peregrino A;UEP;183;2015/07;peregrino;13,42;< 290ºC;16.7%;290ºC a 380ºC;12.58%;> 380ºC;70.72%;76,4453;5,012;6,7907;1,9311;2,7722;1,1307;0,8721;0,3567;0,1388;0,0271;0,0036;0;0;0,7333;2,7097;1,0767;2,07627;537,18843;37466,6659;08/04/2023
Rio de Janeiro;Campos;7-PRG-62H-RJS;BMC7A6;PEREGRINO;Equinor Brasil;4,861E+14;2023/02;1755,09;0,00;1755,09;1,57;0,00;1,57;43,91;174,60;Peregrino A;UEP;189;2015/07;peregrino;13,42;< 290ºC;16.7%;290ºC a 380ºC;12.58%;> 380ºC;70.72%;76,4453;5,012;6,7907;1,9311;2,7722;1,1307;0,8721;0,3567;0,1388;0,0271;0,0036;0;0;0,7333;2,7097;1,0767;2,07627;537,18843;37466,6659;08/04/2023
Rio de Janeiro;Campos;7-CRP-45D-RJS;7CRP 0045D RJS;CARAPEBA;Perenco Brasil;4,8E+14;2023/02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;PLATAFORMA DE CARAPEBA-II;UEP;0;2021/10;CARAPEBA;19,77;< 290ºC;19.73%;290ºC a 380ºC;15.69%;> 380ºC;64.58%;59,94;12,68;13,32;2,5;4,93;1,16;1,56;1,2;0,13;0,01;0;0;0;0,05;2,07;0,45;2,04617;533,5782;41386,5444;08/04/2023
Rio de Janeiro;Campos;7-CRP-47D-RJS;7CRP 0047D RJS;CARAPEBA;Perenco Brasil;4,8E+14;2023/02;455,92;0,00;455,92;1,23;0,00;1,23;34,43;3711,89;PLATAFORMA DE CARAPEBA-II;UEP;633;2021/10;CARAPEBA;19,77;< 290ºC;19.73%;290ºC a 380ºC;15.69%;> 380ºC;64.58%;59,94;12,68;13,32;2,5;4,93;1,16;1,56;1,2;0,13;0,01;0;0;0;0,05;2,07;0,45;2,04617;533,5782;41386,5444;08/04/2023
Rio de Janeiro;Campos;7-CRP-49D-RJS;7CRP 0049D RJS;CARAPEBA;Perenco Brasil;4,8E+14;2023/02;495,81;0,00;495,81;1,80;0,00;1,80;50,32;4779,58;PLATAFORMA DE CARAPEBA-III;UEP;635;2021/10;CARAPEBA;19,77;< 290ºC;19.73%;290ºC a 380ºC;15.69%;> 380ºC;64.58%;59,94;12,68;13,32;2,5;4,93;1,16;1,56;1,2;0,13;0,01;0;0;0;0,05;2,07;0,45;2,04617;533,5782;41386,5444;08/04/2023
Rio de Janeiro;Campos;7-CRP-50D-RJS;7CRP 0050D RJS;CARAPEBA;Perenco Brasil;4,8E+14;2023/02;715,95;0,00;715,95;1,77;0,00;1,77;49,63;3275,87;PLATAFORMA DE CARAPEBA-III;UEP;646;2021/10;CARAPEBA;19,77;< 290ºC;19.73%;290ºC a 380ºC;15.69%;> 380ºC;64.58%;59,94;12,68;13,32;2,5;4,93;1,16;1,56;1,2;0,13;0,01;0;0;0;0,05;2,07;0,45;2,04617;533,5782;41386,5444;08/04/2023
Rio de Janeiro;Campos;7-CRP-51D-RJS;7CRP 0051D RJS;CARAPEBA;Perenco Brasil;4,8E+14;2023/02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;PLATAFORMA DE CARAPEBA-III;UEP;0;2021/10;CARAPEBA;19,77;< 290ºC;19.73%;290ºC a 380ºC;15.69%;> 380ºC;64.58%;59,94;12,68;13,32;2,5;4,93;1,16;1,56;1,2;0,13;0,01;0;0;0;0,05;2,07;0,45;2,04617;533,5782;41386,5444;08/04/2023
Rio de Janeiro;Santos;7-LL-51-RJS;7LL51RJS;TUPI;Petrobras;4,861E+14;2023/02;13108,43;0,00;13108,43;768,65;0,00;768,65;12727,68;2382,56;FPSO CIDADE DE ITAGUAÍ;UEP;672;2023/02;Tupi;30,7;< 270ºC;35.2%;270ºC a 458ºC;25.7%;> 458ºC;39.1%;;;;;;;;;;;;;;;;;;;;08/04/2023
Rio de Janeiro;Santos;7-LL-45D-RJS;7LL45DRJS;TUPI;Petrobras;4,861E+14;2023/02;2538,37;0,00;2538,37;164,49;0,00;164,49;2723,61;11569,32;FPSO CIDADE DE MANGARATIBA;UEP;638;2023/02;Tupi;30,7;< 270ºC;35.2%;270ºC a 458ºC;25.7%;> 458ºC;39.1%;;;;;;;;;;;;;;;;;;;;08/04/2023
Rio de Janeiro;Santos;3-BRSA-839A-RJS;3RJS675A;TUPI;Petrobras;4,861E+14;2023/02;18103,58;0,00;18103,58;875,08;0,00;875,08;14489,84;540,93;FPSO CIDADE DE ITAGUAÍ;UEP;669;2023/02;Tupi;30,7;< 270ºC;35.2%;270ºC a 458ºC;25.7%;> 458ºC;39.1%;;;;;;;;;;;;;;;;;;;;08/04/2023
Rio de Janeiro;Santos;7-LL-84D-RJS;7LL84DRJS;TUPI;Petrobras;4,861E+14;2023/02;22302,41;0,00;22302,41;789,14;0,00;789,14;13066,94;760,95;FPSO CIDADE DE MARICÁ;UEP;619;2023/02;Tupi;30,7;< 270ºC;35.2%;270ºC a 458ºC;25.7%;> 458ºC;39.1%;;;;;;;;;;;;;;;;;;;;08/04/2023
Rio de Janeiro;Santos;7-LL-69-RJS;7LL69RJS;TUPI;Petrobras;4,861E+14;2023/02;17215,22;0,00;17215,22;586,87;0,00;586,87;9717,68;1702,60;Petrobras 66 (P-66);UEP;615;2023/02;Tupi;30,7;< 270ºC;35.2%;270ºC a 458ºC;25.7%;> 458ºC;39.1%;;;;;;;;;;;;;;;;;;;;08/04/2023
Rio de Janeiro;Santos;7-LL-115-RJS;7LL115RJS;TUPI;Petrobras;4,861E+14;2023/02;15389,80;0,00;15389,80;543,27;0,00;543,27;8995,75;12,16;Petrobras 67 (P-67);UEP;445;2023/02;Tupi;30,7;< 270ºC;35.2%;270ºC a 458ºC;25.7%;> 458ºC;39.1%;;;;;;;;;;;;;;;;;;;;08/04/2023
Rio de Janeiro;Santos;7-SLL-2-RJS;7SLL2RJS;TUPI;Petrobras;4,861E+16;2023/02;21578,21;0,00;21578,21;765,48;0,00;765,48;12675,09;88,74;Petrobras 69;UEP;574;2023/02;Tupi;30,7;< 270ºC;35.2%;270ºC a 458ºC;25.7%;> 458ºC;39.1%;;;;;;;;;;;;;;;;;;;;08/04/2023
Rio de Janeiro;Campos;3-BRSA-653D-RJS;3MLS126DRJS;MARLIM SUL;Petrobras;4,8E+14;2023/02;4578,37;0,00;4578,37;69,43;0,00;69,43;1936,24;244,10;PETROBRAS 40;UEP;609;2023/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;77,22;8,07;6,44;1,12;2,43;0,63;0,83;0,66;0,52;0,32;0,12;0,02;0;0;0,56;1,06;2,04569;533,49686;39717,3134;08/04/2023
Rio de Janeiro;Campos;7-MLS-117HP-RJS;7MLS117HPRJS;MARLIM SUL;Petrobras;4,8E+14;2023/02;1123,97;0,00;1123,97;18,29;0,00;18,29;510,17;11114,68;PETROBRAS 51;UEP;580;2023/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;77,22;8,07;6,44;1,12;2,43;0,63;0,83;0,66;0,52;0,32;0,12;0,02;0;0;0,56;1,06;2,04569;533,49686;39717,3134;08/04/2023
Rio de Janeiro;Campos;7-MLS-153H-RJS;7MLS153HRJS;MARLIM SUL;Petrobras;4,8E+14;2023/02;1803,87;0,00;1803,87;16,96;0,00;16,96;472,91;16883,33;PETROBRAS 56;UEP;671;2023/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;77,22;8,07;6,44;1,12;2,43;0,63;0,83;0,66;0,52;0,32;0,12;0,02;0;0;0,56;1,06;2,04569;533,49686;39717,3134;08/04/2023
Rio de Janeiro;Campos;7-MLS-179HP-RJS;7MLS179HPRJS;MARLIM SUL;Petrobras;4,8E+14;2023/02;2380,77;0,00;2380,77;33,56;0,00;33,56;935,89;17679,57;PETROBRAS 56;UEP;672;2023/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;77,22;8,07;6,44;1,12;2,43;0,63;0,83;0,66;0,52;0,32;0,12;0,02;0;0;0,56;1,06;2,04569;533,49686;39717,3134;08/04/2023
